pop,ssp,ploidy,type,family,garden,year,grwvol_m,MAT ,MWMT ,MCMT ,TD ,MAP ,MSP ,AHM ,SHM ,DD0 ,DD5 ,DDL18 ,DDG18 ,NFFD ,bFFP ,eFFP ,FFP ,PAS ,EMT ,EXT ,MAR ,Eref ,CMD ,RH ,PPT_wt ,PPT_sp ,PPT_sm ,PPT_at ,DD0_wt ,DD5_sm 
NMT-2,wyomingensis,4x,t4x,NMT-2-9,Ephraim,y11,1.239074784,9.7,22.1,-2.4,24.5,255,146,77.1,150.7,308,2440,3362,330,187,140,276,136,17,-35.4,39.1,18.9,1195,962,44,33,46,103,73,260,1435
MTW-1,wyomingensis,4x,w4x,MTW-1-1,Majors,y12,1.237266185,7.1,22.4,-7.9,30.2,365,232,46.8,96.7,749,2209,4269,316,177,135,265,129,51,-39.9,41.8,14.3,850,540,49,38,118,134,76,615,1419
NVT-2,tridentata,2x,t2x,NVT-2-5,Ephraim,y11,1.237056364,8.9,21.6,-2.3,24,239,101,79.1,215,328,2222,3584,277,188,144,272,128,29,-34.1,39.9,18,1069,864,48,54,65,56,64,266,1366
IDT-1,tridentata,2x,t2x,IDT-1-7,Majors,y12,1.236410473,9.9,23.1,-2.4,25.5,265,68,75.4,341.2,285,2492,3310,390,215,129,275,146,38,-29.5,41.5,15.9,1037,851,53,94,71,30,70,243,1488
WAW-1,wyomingensis,4x,t4x,WAW-3-5,Ephraim,y12,1.232640441,10.9,22.6,-1.1,23.7,197,50,105.9,447.4,214,2676,2997,414,246,116,289,173,21,-26.2,40.9,15.1,951,818,58,76,45,26,49,185,1500
UTT-2,tridentata,2x,t2x,UTT-2-5,Ephraim,y11,1.228754565,9.5,23.2,-4.1,27.3,307,141,63.5,164.4,380,2501,3472,393,207,127,281,154,33,-33.9,39.5,17,1033,777,53,52,70,87,99,327,1503
UTT-1,tridentata,2x,t2x,UTT-1-10,Ephraim,y12,1.224827878,6.9,19,-4.1,23.2,318,151,53.1,125.7,479,1755,4158,120,157,161,259,97,63,-37.7,37.1,18,980,729,46,67,74,98,78,375,1138
WAW-1,wyomingensis,4x,t4x,WAW-3-7,Majors,y12,1.22254733,10.9,22.6,-1.1,23.7,197,50,105.9,447.4,214,2676,2997,414,246,116,289,173,21,-26.2,40.9,15.1,951,818,58,76,45,26,49,185,1500
ORW-2,tridentata,2x,t2x,ORW-2-7,Ephraim,y11,1.220659522,7,18.5,-2.3,20.8,306,109,55.6,170.2,366,1654,4091,106,175,161,263,102,56,-31.1,38,16.2,860,642,54,78,92,57,79,268,1082
NMT-1,wyomingensis,4x,t4x,NMT-1-1,Majors,y12,1.209094184,8.2,20.6,-3.7,24.3,293,166,62,124.1,408,2089,3779,213,170,152,270,118,33,-37.5,37.7,18.8,1078,831,44,46,53,115,79,337,1290
ORT-3,tridentata,2x,t2x,ORT-3-7,Ephraim,y11,1.196655771,6.6,18,-2.6,20.6,321,115,51.9,156.4,393,1568,4213,88,172,163,262,99,66,-31.2,37.5,16.1,837,607,55,78,99,60,83,283,1038
UTW-2,wyomingensis,4x,w4x,UTW-2-4,Ephraim,y11,1.195622915,8.5,22.4,-4.5,26.9,263,127,70.1,176.6,440,2227,3771,313,193,136,270,134,37,-34,40.2,15.9,975,760,52,48,85,70,60,371,1402
NMT-1,wyomingensis,4x,t4x,NMT-1-6,Majors,y12,1.195049076,8.2,20.6,-3.7,24.3,293,166,62,124.1,408,2089,3779,213,170,152,270,118,33,-37.5,37.7,18.8,1078,831,44,46,53,115,79,337,1290
COW-1,wyomingensis,4x,w4x,COW-1-9,Ephraim,y12,1.192625662,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
IDT-2,tridentata,2x,t2x,IDT-2-6,Majors,y12,1.190343827,9.9,22.8,-2.3,25.1,279,68,71.1,334,276,2452,3316,371,217,132,277,145,39,-29.1,41.6,15.7,1022,824,54,102,86,30,62,235,1468
NVW-1,tridentata,2x,t2x,NVW-1-7,Ephraim,y12,1.190214378,9.3,22,-1.8,23.8,302,92,63.9,240,272,2273,3446,305,195,144,269,125,35,-31.3,40.9,16.7,1051,810,50,83,95,49,76,220,1388
